

# -Track  1 -------------------------------------
# frame    x      y    width_x   width_y  height  amplitude     sn     volume 
# 0.0000 nan nan nan nan nan nan nan nan 
1.0000 119.1931 4.3498 1.7719 2.0896 0.4519 0.3584 8.3377 1.7930 
2.0000 119.3047 4.2515 1.7814 3.5882 0.3709 0.2866 11.5092 1.7727 
3.0000 119.4770 5.1762 2.7498 3.8180 0.1778 0.3751 24.7433 3.1094 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 


# -Track  2 -------------------------------------
# frame    x      y    width_x   width_y  height  amplitude     sn     volume 
# 0.0000 nan nan nan nan nan nan nan nan 
1.0000 61.4368 5.5219 2.8600 3.4687 0.1427 0.5235 32.6321 4.6693 
2.0000 60.3600 5.3435 2.4856 2.5331 0.2664 0.4066 16.0831 2.5259 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
